uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,2.99859,1,0.200056,0.250071
1,0,-6.02171,1,0.560868,0.701086
2,0,-17.2811,1,0.8,1
3,0,2.55251,1,0.2179,0.272375
4,0,2.9886,1,0.200456,0.25057
5,0,4.83977,1,0.126409,0.158011
6,1,-11.4764,1,0.779057,0.973821
7,1,1.20114,1,0.271954,0.339943
8,1,-1.20418,1,0.368167,0.460209
9,1,3.3057,1,0.187772,0.234715
10,1,-5.4328,1,0.537312,0.67164
11,1,-10.0005,1,0.720022,0.900027
12,2,-5.47086,1,0.538835,0.673543
13,2,0.860284,1,0.285589,0.356986
14,2,-6.34171,1,0.573668,0.717086
15,2,1.65523,1,0.253791,0.317238
16,2,1.33505,1,0.266598,0.333248
17,2,4.13935,1,0.154426,0.193033
