cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.066,0.211,4.995,50,9,41
1,6,1.695,0.365,4.952,40,15,25
2,6,0.387,0.516,3.893,66,32,34
