uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.039256,1,5.61299,2.99221,1,0.200312
1,0,0,0,0,1.86847,1,0.245261
2,0,0,0,0,4.58362,1,0.136655
3,0,0,0,0,1.19069,1,0.272372
4,0,0,0,0,2.84235,1,0.206306
5,0,0,0,0,4.26018,1,0.149593
6,1,0,0,0,1.23155,1,0.270738
7,1,0,0,0,4.36585,1,0.145366
8,1,0,0,0,3.62421,1,0.175032
9,1,0,0,0,-7.9463,1,0.637852
10,1,0,0,0,-1.9813,1,0.399252
11,1,0,0,0,-5.47928,1,0.539171
12,2,0,0,0,-5.14999,1,0.525999
13,2,0,0,0,0.601327,1,0.295947
14,2,0,0,0,-1.25474,1,0.370189
15,2,0,0,0,-2.21957,1,0.408783
16,2,0,0,0,-6.06399,1,0.56256
17,2,0,0,0,1.51085,1,0.259566
