cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,1.744,0.314,4.750,75,25,49
1,6,0.138,0.274,3.118,65,22,43
2,6,1.109,0.382,3.565,61,23,38
