uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-12.4565,1,0.8,1
1,0,3.32947,1,0.186821,0.233527
2,0,-9.47057,1,0.698823,0.873528
3,0,2.29079,1,0.228368,0.28546
4,0,-7.42585,1,0.617034,0.771292
5,0,-7.53066,1,0.621226,0.776533
6,1,5.41248,1,0.103501,0.129376
7,1,3.6376,1,0.174496,0.21812
8,1,3.49081,1,0.180368,0.22546
9,1,1.87656,1,0.244937,0.306172
10,1,-8.9101,1,0.676404,0.845505
11,1,-6.00662,1,0.560265,0.700331
12,2,-0.417917,1,0.336717,0.420896
13,2,0.434319,1,0.302627,0.378284
14,2,1.55833,1,0.257667,0.322084
15,2,4.93542,1,0.122583,0.153229
16,2,-9.44313,1,0.697725,0.872156
17,2,-0.419027,1,0.336761,0.420951
