metric,value
sim_duration_s,300
global_throughput_kbps,0.039256
global_pdr,1
global_avg_delay_ms,4.09931
global_jitter_ms,0.934935
total_tx,30
total_rx,30
total_lost,0
routing_overhead_ratio,0.994714
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,898
global_avg_sinr_db,1.39114
global_min_sinr_db,-7.89887
jammed_uav_count,18
