metric,value
sim_duration_s,180
global_throughput_kbps,0.0425227
global_pdr,1
global_avg_delay_ms,3.59838
global_jitter_ms,1.63548
total_tx,18
total_rx,18
total_lost,0
routing_overhead_ratio,0.994714
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,543
global_avg_sinr_db,-3.0945
global_min_sinr_db,-13.8643
jammed_uav_count,18
