uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-6.47713,1,0.579085,0.723856
1,0,-0.653016,1,0.346121,0.432651
2,0,0.174361,1,0.313026,0.391282
3,0,1.84802,1,0.246079,0.307599
4,0,-5.22553,1,0.529021,0.661277
5,0,0.839849,1,0.286406,0.358008
6,1,0.449136,1,0.302035,0.377543
7,1,-3.05957,1,0.442383,0.552978
8,1,-9.9412,1,0.717648,0.89706
9,1,-1.5219,1,0.380876,0.476095
10,1,-3.29582,1,0.451833,0.564791
11,1,-0.887665,1,0.355507,0.444383
12,2,-8.77273,1,0.670909,0.838636
13,2,-3.9666,1,0.478664,0.59833
14,2,-17.9711,1,0.8,1
15,2,-2.93226,1,0.43729,0.546613
16,2,-0.00879381,1,0.320352,0.40044
17,2,-4.91139,1,0.516456,0.645569
