uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,1.44187,0,0,1.15771,1,0.273692
1,0,0,0,0,2.40909,1,0.223636
2,0,0,0,0,-3.57073,1,0.462829
3,0,0,0,0,-13.3668,1,0.8
4,0,0,0,0,-6.27189,1,0.570876
5,0,0,0,0,-0.625935,1,0.345037
6,1,0,0,0,-8.05148,1,0.642059
7,1,0,0,0,-8.11404,1,0.644562
8,1,0,0,0,-2.04377,1,0.401751
9,1,0,0,0,0.213998,1,0.31144
10,1,0,0,0,0.927773,1,0.282889
11,1,0,0,0,-0.575413,1,0.343017
12,2,0,0,0,0.201251,1,0.31195
13,2,0,0,0,0.917596,1,0.283296
14,2,0,0,0,-1.00786,1,0.360314
15,2,0,0,0,-9.51614,1,0.700646
16,2,0,0,0,1.43631,1,0.262548
17,2,0,0,0,-2.70548,1,0.428219
