cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.142,0.196,4.919,99,20,79
1,6,1.137,0.303,2.989,63,24,39
2,6,0.163,0.262,4.965,67,20,47
