metric,value
sim_duration_s,300
global_throughput_kbps,1.44187
global_pdr,0.253617
global_avg_delay_ms,4.29108
global_jitter_ms,3.58576
total_tx,229
total_rx,64
total_lost,165
routing_overhead_ratio,0.957107
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,903
global_avg_sinr_db,-2.69921
global_min_sinr_db,-13.3668
jammed_uav_count,18
