uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,1.15771,1,0.273692,0.342115
1,0,2.40909,1,0.223636,0.279545
2,0,-3.57073,1,0.462829,0.578536
3,0,-13.3668,1,0.8,1
4,0,-6.27189,1,0.570876,0.713595
5,0,-0.625935,1,0.345037,0.431297
6,1,-8.05148,1,0.642059,0.802574
7,1,-8.11404,1,0.644562,0.805702
8,1,-2.04377,1,0.401751,0.502188
9,1,0.213998,1,0.31144,0.3893
10,1,0.927773,1,0.282889,0.353611
11,1,-0.575413,1,0.343017,0.428771
12,2,0.201251,1,0.31195,0.389937
13,2,0.917596,1,0.283296,0.35412
14,2,-1.00786,1,0.360314,0.450393
15,2,-9.51614,1,0.700646,0.875807
16,2,1.43631,1,0.262548,0.328184
17,2,-2.70548,1,0.428219,0.535274
