time_s,event_type,uav_id,cluster_id,details
4.98745,JOIN,0,0,ok
8.41166,LEAVE,1,0,ok
15.9874,JOIN,1,0,ok
22.6117,LEAVE,2,0,ok
26.9874,JOIN,2,0,ok
36.8117,LEAVE,3,0,ok
37.9874,JOIN,3,0,ok
48.9874,JOIN,4,0,ok
50,COMPROMISE,0,0,reason=0
50,COMPROMISE,0,0,hmac_fail
51.0117,LEAVE,4,0,ok
59.9874,JOIN,5,0,ok
60,BATCH_REKEY,255,ALL,global
65.2117,LEAVE,5,0,ok
70.9874,JOIN,6,1,ok
79.4117,LEAVE,6,1,ok
80,HANDOVER,1,0→1
81.9874,JOIN,7,1,ok
92.9874,JOIN,8,1,ok
93.6117,LEAVE,7,1,ok
103.987,JOIN,9,1,ok
107.812,LEAVE,8,1,ok
114.987,JOIN,10,1,ok
122.012,LEAVE,9,1,ok
125.987,JOIN,11,1,ok
136.212,LEAVE,10,1,ok
136.987,JOIN,12,2,ok
147.987,JOIN,13,2,ok
150.412,LEAVE,11,1,ok
158.987,JOIN,14,2,ok
164.612,LEAVE,12,2,ok
169.987,JOIN,15,2,ok
178.812,LEAVE,13,2,ok
180.987,JOIN,16,2,ok
191.987,JOIN,17,2,ok
193.012,LEAVE,14,2,ok
202.987,JOIN,0,0,ok
207.212,LEAVE,15,2,ok
213.987,JOIN,1,0,ok
221.412,LEAVE,16,2,ok
224.987,JOIN,2,0,ok
235.612,LEAVE,17,2,ok
235.987,JOIN,3,0,ok
246.987,JOIN,4,0,ok
249.812,LEAVE,0,0,ok
257.987,JOIN,5,0,ok
264.012,LEAVE,1,0,ok
268.987,JOIN,6,1,ok
278.212,LEAVE,2,0,ok
279.987,JOIN,7,1,ok
