time_s,event_type,uav_id,cluster_id,details
4.73017,JOIN,0,0,ok
8.1271,LEAVE,1,0,ok
17.2302,JOIN,1,0,ok
24.1271,LEAVE,2,0,ok
29.7302,JOIN,2,0,ok
40.1271,LEAVE,3,0,ok
42.2302,JOIN,3,0,ok
50,COMPROMISE,0,0,reason=0
50,COMPROMISE,0,0,hmac_fail
54.7302,JOIN,4,0,ok
56.1271,LEAVE,4,0,ok
60,BATCH_REKEY,255,ALL,global
67.2302,JOIN,5,1,ok
72.1271,LEAVE,5,1,ok
79.7302,JOIN,6,1,ok
80,HANDOVER,1,0→1
88.1271,LEAVE,6,1,ok
92.2302,JOIN,7,1,ok
104.127,LEAVE,7,1,ok
104.73,JOIN,8,1,ok
117.23,JOIN,9,1,ok
120.127,LEAVE,8,1,ok
129.73,JOIN,10,2,ok
136.127,LEAVE,9,1,ok
142.23,JOIN,11,2,ok
152.127,LEAVE,10,2,ok
154.73,JOIN,12,2,ok
167.23,JOIN,13,2,ok
168.127,LEAVE,11,2,ok
179.73,JOIN,14,2,ok
184.127,LEAVE,12,2,ok
192.23,JOIN,0,0,ok
200.127,LEAVE,13,2,ok
204.73,JOIN,1,0,ok
216.127,LEAVE,14,2,ok
217.23,JOIN,2,0,ok
229.73,JOIN,3,0,ok
232.127,LEAVE,0,0,ok
242.23,JOIN,4,0,ok
248.127,LEAVE,1,0,ok
254.73,JOIN,5,1,ok
264.127,LEAVE,2,0,ok
267.23,JOIN,6,1,ok
279.73,JOIN,7,1,ok
280.127,LEAVE,3,0,ok
