time_s,event_type,uav_id,cluster_id,details
4.73017,JOIN,0,0,ok
8.1271,LEAVE,1,0,ok
21.7302,JOIN,1,0,ok
29.5271,LEAVE,2,1,ok
38.7302,JOIN,2,1,ok
50,COMPROMISE,0,0,reason=0
50,COMPROMISE,0,0,hmac_fail
50.9271,LEAVE,3,1,ok
55.7302,JOIN,3,1,ok
60,BATCH_REKEY,255,ALL,global
72.3271,LEAVE,4,2,ok
72.7302,JOIN,4,2,ok
80,HANDOVER,1,0→1
89.7302,JOIN,5,2,ok
93.7271,LEAVE,5,2,ok
106.73,JOIN,0,0,ok
115.127,LEAVE,0,0,ok
123.73,JOIN,1,0,ok
136.527,LEAVE,1,0,ok
140.73,JOIN,2,1,ok
157.73,JOIN,3,1,ok
157.927,LEAVE,2,1,ok
174.73,JOIN,4,2,ok
179.327,LEAVE,3,1,ok
191.73,JOIN,5,2,ok
200.727,LEAVE,4,2,ok
208.73,JOIN,0,0,ok
222.127,LEAVE,5,2,ok
225.73,JOIN,1,0,ok
242.73,JOIN,2,1,ok
243.527,LEAVE,0,0,ok
259.73,JOIN,3,1,ok
264.927,LEAVE,1,0,ok
276.73,JOIN,4,2,ok
286.327,LEAVE,2,1,ok
