time_s,event_type,uav_id,cluster_id,details
6.18617,JOIN,0,0,ok
8.73374,LEAVE,1,0,ok
20.1862,JOIN,1,0,ok
26.5337,LEAVE,2,0,ok
34.1862,JOIN,2,0,ok
44.3337,LEAVE,3,0,ok
48.1862,JOIN,3,0,ok
50,COMPROMISE,0,0,reason=0
50,COMPROMISE,0,0,hmac_fail
60,BATCH_REKEY,255,ALL,global
62.1337,LEAVE,4,1,ok
62.1862,JOIN,4,1,ok
76.1862,JOIN,5,1,ok
79.9337,LEAVE,5,1,ok
80,HANDOVER,1,0→1
90.1862,JOIN,6,1,ok
97.7337,LEAVE,6,1,ok
104.186,JOIN,7,1,ok
115.534,LEAVE,7,1,ok
118.186,JOIN,8,2,ok
132.186,JOIN,9,2,ok
133.334,LEAVE,8,2,ok
146.186,JOIN,10,2,ok
151.134,LEAVE,9,2,ok
160.186,JOIN,11,2,ok
168.934,LEAVE,10,2,ok
174.186,JOIN,0,0,ok
186.734,LEAVE,11,2,ok
188.186,JOIN,1,0,ok
202.186,JOIN,2,0,ok
204.534,LEAVE,0,0,ok
216.186,JOIN,3,0,ok
222.334,LEAVE,1,0,ok
230.186,JOIN,4,1,ok
240.134,LEAVE,2,0,ok
244.186,JOIN,5,1,ok
257.934,LEAVE,3,0,ok
258.186,JOIN,6,1,ok
272.186,JOIN,7,1,ok
275.734,LEAVE,4,1,ok
286.186,JOIN,8,2,ok
