time_s,uav_id,cluster_id,payload_plaintext,encrypted_bytes,tek_version
5.0,0,0,UAV0|CLU0|T5.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,101,1
5.0,1,0,UAV1|CLU0|T5.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,101,1
5.0,2,1,UAV2|CLU1|T5.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,101,1
5.0,3,1,UAV3|CLU1|T5.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,101,1
5.0,4,2,UAV4|CLU2|T5.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,102,1
5.0,5,2,UAV5|CLU2|T5.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,102,1
