time_s,event_type,uav_id,cluster_id,details
4.98745,JOIN,0,0,ok
8.41166,LEAVE,1,0,ok
17.4874,JOIN,1,0,ok
24.4117,LEAVE,2,0,ok
29.9874,JOIN,2,0,ok
40.4117,LEAVE,3,0,ok
42.4874,JOIN,3,0,ok
50,COMPROMISE,0,0,reason=0
50,COMPROMISE,0,0,hmac_fail
54.9874,JOIN,4,0,ok
56.4117,LEAVE,4,0,ok
60,BATCH_REKEY,255,ALL,global
67.4874,JOIN,5,1,ok
72.4117,LEAVE,5,1,ok
79.9874,JOIN,6,1,ok
80,HANDOVER,1,0→1
88.4117,LEAVE,6,1,ok
92.4874,JOIN,7,1,ok
104.412,LEAVE,7,1,ok
104.987,JOIN,8,1,ok
117.487,JOIN,9,1,ok
120.412,LEAVE,8,1,ok
129.987,JOIN,10,2,ok
136.412,LEAVE,9,1,ok
142.487,JOIN,11,2,ok
152.412,LEAVE,10,2,ok
154.987,JOIN,12,2,ok
167.487,JOIN,13,2,ok
168.412,LEAVE,11,2,ok
179.987,JOIN,14,2,ok
184.412,LEAVE,12,2,ok
192.487,JOIN,0,0,ok
200.412,LEAVE,13,2,ok
204.987,JOIN,1,0,ok
216.412,LEAVE,14,2,ok
217.487,JOIN,2,0,ok
229.987,JOIN,3,0,ok
232.412,LEAVE,0,0,ok
242.487,JOIN,4,0,ok
248.412,LEAVE,1,0,ok
254.987,JOIN,5,1,ok
264.412,LEAVE,2,0,ok
267.487,JOIN,6,1,ok
279.987,JOIN,7,1,ok
280.412,LEAVE,3,0,ok
