time_s,event_type,uav_id,cluster_id,details
20.0,JOIN,2,0,TEK_v1
25.0,LEAVE,1,0,TEK_v2
30.0,JOIN,3,0,TEK_v2
40.0,JOIN,4,0,TEK_v2
40.0,LEAVE,2,0,TEK_v3
50.0,JOIN,5,0,TEK_v3
50.0,COMPROMISE,1,0,REVOKED_TEK_v4
55.0,LEAVE,3,0,TEK_v5
60.0,JOIN,6,0,TEK_v5
70.0,JOIN,7,0,TEK_v8
70.0,LEAVE,4,0,TEK_v9
80.0,JOIN,8,1,TEK_v9
80.0,HANDOVER,7,0→1,TEK_v11
85.0,LEAVE,5,0,TEK_v12
90.0,JOIN,9,1,TEK_v12
100.0,JOIN,10,1,TEK_v12
100.0,LEAVE,6,0,TEK_v13
110.0,JOIN,11,1,TEK_v13
115.0,LEAVE,7,0,TEK_v14
120.0,JOIN,12,1,TEK_v14
120.0,COMPROMISE,1,0,REVOKED_TEK_v15
130.0,JOIN,13,1,TEK_v15
130.0,LEAVE,8,1,TEK_v16
140.0,JOIN,14,1,TEK_v19
145.0,LEAVE,9,1,TEK_v20
150.0,JOIN,15,1,TEK_v20
160.0,JOIN,16,2,TEK_v20
160.0,LEAVE,10,1,TEK_v21
170.0,JOIN,17,2,TEK_v21
175.0,LEAVE,11,1,TEK_v22
180.0,JOIN,18,2,TEK_v22
190.0,JOIN,19,2,TEK_v22
190.0,LEAVE,12,1,TEK_v23
200.0,JOIN,20,2,TEK_v23
200.0,COMPROMISE,1,0,REVOKED_TEK_v24
205.0,LEAVE,13,1,TEK_v25
210.0,JOIN,21,2,TEK_v25
220.0,JOIN,22,2,TEK_v28
220.0,LEAVE,14,1,TEK_v29
230.0,JOIN,23,2,TEK_v29
235.0,LEAVE,15,1,TEK_v30
