time_s,event_type,uav_id,cluster_id,details
4.73017,JOIN,0,0,ok
8.1271,LEAVE,1,0,ok
15.7302,JOIN,1,0,ok
22.3271,LEAVE,2,0,ok
26.7302,JOIN,2,0,ok
36.5271,LEAVE,3,0,ok
37.7302,JOIN,3,0,ok
48.7302,JOIN,4,0,ok
50,COMPROMISE,0,0,reason=0
50,COMPROMISE,0,0,hmac_fail
50.7271,LEAVE,4,0,ok
59.7302,JOIN,5,0,ok
60,BATCH_REKEY,255,ALL,global
64.9271,LEAVE,5,0,ok
70.7302,JOIN,6,1,ok
79.1271,LEAVE,6,1,ok
80,HANDOVER,1,0→1
81.7302,JOIN,7,1,ok
92.7302,JOIN,8,1,ok
93.3271,LEAVE,7,1,ok
103.73,JOIN,9,1,ok
107.527,LEAVE,8,1,ok
114.73,JOIN,10,1,ok
121.727,LEAVE,9,1,ok
125.73,JOIN,11,1,ok
135.927,LEAVE,10,1,ok
136.73,JOIN,12,2,ok
147.73,JOIN,13,2,ok
150.127,LEAVE,11,1,ok
158.73,JOIN,14,2,ok
164.327,LEAVE,12,2,ok
169.73,JOIN,15,2,ok
178.527,LEAVE,13,2,ok
180.73,JOIN,16,2,ok
191.73,JOIN,17,2,ok
192.727,LEAVE,14,2,ok
202.73,JOIN,0,0,ok
206.927,LEAVE,15,2,ok
213.73,JOIN,1,0,ok
221.127,LEAVE,16,2,ok
224.73,JOIN,2,0,ok
235.327,LEAVE,17,2,ok
235.73,JOIN,3,0,ok
246.73,JOIN,4,0,ok
249.527,LEAVE,0,0,ok
257.73,JOIN,5,0,ok
263.727,LEAVE,1,0,ok
268.73,JOIN,6,1,ok
277.927,LEAVE,2,0,ok
279.73,JOIN,7,1,ok
