time_s,event_type,uav_id,cluster_id,details
4.73017,JOIN,0,0,ok
8.1271,LEAVE,1,0,ok
20.2302,JOIN,1,0,ok
27.7271,LEAVE,2,0,ok
35.7302,JOIN,2,0,ok
47.3271,LEAVE,3,1,ok
50,COMPROMISE,0,0,reason=0
50,COMPROMISE,0,0,hmac_fail
51.2302,JOIN,3,1,ok
60,BATCH_REKEY,255,ALL,global
66.7302,JOIN,4,1,ok
66.9271,LEAVE,4,1,ok
80,HANDOVER,1,0→1
82.2302,JOIN,5,1,ok
86.5271,LEAVE,5,1,ok
97.7302,JOIN,6,2,ok
106.127,LEAVE,6,2,ok
113.23,JOIN,7,2,ok
125.727,LEAVE,7,2,ok
128.73,JOIN,8,2,ok
144.23,JOIN,0,0,ok
145.327,LEAVE,8,2,ok
159.73,JOIN,1,0,ok
164.927,LEAVE,0,0,ok
175.23,JOIN,2,0,ok
184.527,LEAVE,1,0,ok
190.73,JOIN,3,1,ok
204.127,LEAVE,2,0,ok
206.23,JOIN,4,1,ok
221.73,JOIN,5,1,ok
223.727,LEAVE,3,1,ok
237.23,JOIN,6,2,ok
243.327,LEAVE,4,1,ok
252.73,JOIN,7,2,ok
262.927,LEAVE,5,1,ok
268.23,JOIN,8,2,ok
282.527,LEAVE,6,2,ok
283.73,JOIN,0,0,ok
