time_s,event_type,uav_id,cluster_id,details
4.98745,JOIN,0,0,ok
8.41166,LEAVE,1,0,ok
18.9874,JOIN,1,0,ok
26.2117,LEAVE,2,0,ok
32.9874,JOIN,2,0,ok
44.0117,LEAVE,3,0,ok
46.9874,JOIN,3,0,ok
50,COMPROMISE,0,0,reason=0
50,COMPROMISE,0,0,hmac_fail
60,BATCH_REKEY,255,ALL,global
60.9874,JOIN,4,1,ok
61.8117,LEAVE,4,1,ok
74.9874,JOIN,5,1,ok
79.6117,LEAVE,5,1,ok
80,HANDOVER,1,0→1
88.9874,JOIN,6,1,ok
97.4117,LEAVE,6,1,ok
102.987,JOIN,7,1,ok
115.212,LEAVE,7,1,ok
116.987,JOIN,8,2,ok
130.987,JOIN,9,2,ok
133.012,LEAVE,8,2,ok
144.987,JOIN,10,2,ok
150.812,LEAVE,9,2,ok
158.987,JOIN,11,2,ok
168.612,LEAVE,10,2,ok
172.987,JOIN,0,0,ok
186.412,LEAVE,11,2,ok
186.987,JOIN,1,0,ok
200.987,JOIN,2,0,ok
204.212,LEAVE,0,0,ok
214.987,JOIN,3,0,ok
222.012,LEAVE,1,0,ok
228.987,JOIN,4,1,ok
239.812,LEAVE,2,0,ok
242.987,JOIN,5,1,ok
256.987,JOIN,6,1,ok
257.612,LEAVE,3,0,ok
270.987,JOIN,7,1,ok
275.412,LEAVE,4,1,ok
284.987,JOIN,8,2,ok
