time_s,event_type,uav_id,cluster_id,details
6.18617,JOIN,0,0,ok
8.73374,LEAVE,1,0,ok
23.1862,JOIN,1,0,ok
30.1337,LEAVE,2,1,ok
40.1862,JOIN,2,1,ok
50,COMPROMISE,0,0,reason=0
50,COMPROMISE,0,0,hmac_fail
51.5337,LEAVE,3,1,ok
57.1862,JOIN,3,1,ok
60,BATCH_REKEY,255,ALL,global
72.9337,LEAVE,4,2,ok
74.1862,JOIN,4,2,ok
80,HANDOVER,1,0→1
91.1862,JOIN,5,2,ok
94.3337,LEAVE,5,2,ok
108.186,JOIN,0,0,ok
115.734,LEAVE,0,0,ok
125.186,JOIN,1,0,ok
137.134,LEAVE,1,0,ok
142.186,JOIN,2,1,ok
158.534,LEAVE,2,1,ok
159.186,JOIN,3,1,ok
176.186,JOIN,4,2,ok
179.934,LEAVE,3,1,ok
193.186,JOIN,5,2,ok
201.334,LEAVE,4,2,ok
210.186,JOIN,0,0,ok
222.734,LEAVE,5,2,ok
227.186,JOIN,1,0,ok
244.134,LEAVE,0,0,ok
244.186,JOIN,2,1,ok
261.186,JOIN,3,1,ok
265.534,LEAVE,1,0,ok
278.186,JOIN,4,2,ok
286.934,LEAVE,2,1,ok
