uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.039256,1,6.47269,3.67055,1,0.173178
1,0,0,0,0,0.466423,1,0.301343
2,0,0,0,0,1.38023,1,0.264791
3,0,0,0,0,3.2807,1,0.188772
4,0,0,0,0,-9.19052,1,0.687621
5,0,0,0,0,4.58271,1,0.136691
6,1,0,0,0,0.153434,1,0.313863
7,1,0,0,0,-18.4473,1,0.8
8,1,0,0,0,-6.61469,1,0.584588
9,1,0,0,0,-12.1479,1,0.8
10,1,0,0,0,2.04355,1,0.238258
11,1,0,0,0,4.39252,1,0.144299
12,2,0,0,0,-4.01374,1,0.480549
13,2,0,0,0,-5.15975,1,0.52639
14,2,0,0,0,-2.86172,1,0.434469
15,2,0,0,0,1.10446,1,0.275822
16,2,0,0,0,2.92368,1,0.203053
17,2,0,0,0,2.28844,1,0.228462
