uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,0.808468,1,0.287661,0.359577
1,0,3.04732,1,0.198107,0.247634
2,0,-10.3461,1,0.733843,0.917304
3,0,-0.0373665,1,0.321495,0.401868
4,0,1.27861,1,0.268856,0.33607
5,0,1.07752,1,0.276899,0.346124
6,1,-6.10474,1,0.56419,0.705237
7,1,1.13869,1,0.274452,0.343065
8,1,0.538936,1,0.298443,0.373053
9,1,-8.7182,1,0.668728,0.83591
10,1,3.00574,1,0.199771,0.249713
11,1,3.11356,1,0.195458,0.244322
12,2,-0.413097,1,0.336524,0.420655
13,2,-2.92878,1,0.437151,0.546439
14,2,3.55031,1,0.177988,0.222485
15,2,-14.816,1,0.8,1
16,2,-0.111449,1,0.324458,0.405572
17,2,3.44487,1,0.182205,0.227756
