cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.108,0.224,5.007,71,17,53
1,6,0.201,0.321,3.208,103,38,64
2,6,0.255,0.308,4.623,76,27,49
