uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-4.25458,1,0.490183,0.612729
1,0,-7.0932,1,0.603728,0.75466
2,0,-2.82005,1,0.432802,0.541003
3,0,-4.85487,1,0.514195,0.642743
4,0,-2.26608,1,0.410643,0.513304
5,0,-6.57021,1,0.582808,0.728511
6,1,-1.76501,1,0.3906,0.488251
7,1,-0.837585,1,0.353503,0.441879
8,1,-14.427,1,0.8,1
9,1,-1.7003,1,0.388012,0.485015
10,1,-11.277,1,0.771079,0.963849
11,1,-9.12935,1,0.685174,0.856468
12,2,-8.6386,1,0.665544,0.83193
13,2,0.182606,1,0.312696,0.39087
14,2,-1.26929,1,0.370771,0.463464
15,2,-1.4763,1,0.379052,0.473815
16,2,-7.16084,1,0.606434,0.758042
17,2,-9.69637,1,0.707855,0.884819
