metric,value
sim_duration_s,300
global_throughput_kbps,0.435849
global_pdr,0.312869
global_avg_delay_ms,3.47212
global_jitter_ms,2.16203
total_tx,197
total_rx,76
total_lost,120
routing_overhead_ratio,0.949432
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,903
global_avg_sinr_db,-3.77982
global_min_sinr_db,-13.8164
jammed_uav_count,18
