cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.131,0.317,3.226,60,23,37
1,6,0.136,0.251,2.552,54,20,34
2,6,0.169,0.370,4.639,83,33,49
