uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.435849,0.25,3.53052,0.0830119,1,0.31668
1,0,0,0,0,-1.0445,1,0.36178
2,0,0,0,0,-13.8164,1,0.8
3,0,0,0,0,-10.6377,1,0.745509
4,0,0,0,0,-10.0325,1,0.721301
5,0,0,0,0,-1.32787,1,0.373115
6,1,0,0,0,0.159375,1,0.313625
7,1,0,0,0,1.16995,1,0.273202
8,1,0,0,0,0.395071,1,0.304197
9,1,0,0,0,-8.87897,1,0.675159
10,1,0,0,0,-8.81344,1,0.672538
11,1,0,0,0,0.0567432,1,0.31773
12,2,0,0,0,-1.62964,1,0.385186
13,2,0,0,0,-2.81681,1,0.432672
14,2,0,0,0,-0.703857,1,0.348154
15,2,0,0,0,1.25607,1,0.269757
16,2,0,0,0,-2.57967,1,0.423187
17,2,0,0,0,-8.87556,1,0.675022
