cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.157,0.228,4.916,71,18,53
1,6,0.100,0.237,76.719,65,16,49
2,6,0.123,0.191,3.679,65,18,47
