uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-14.8462,1,0.8,1
1,0,1.42683,1,0.262927,0.328658
2,0,-1.79915,1,0.391966,0.489958
3,0,2.25279,1,0.229888,0.28736
4,0,-1.93822,1,0.397529,0.496911
5,0,0.598065,1,0.296077,0.370097
6,1,1.13039,1,0.274784,0.34348
7,1,-2.4303,1,0.417212,0.521515
8,1,0.331174,1,0.306753,0.383441
9,1,0.652682,1,0.293893,0.367366
10,1,-9.6273,1,0.705092,0.881365
11,1,-4.96162,1,0.518465,0.648081
12,2,1.13831,1,0.274467,0.343084
13,2,-5.41599,1,0.53664,0.670799
14,2,-0.427405,1,0.337096,0.42137
15,2,-0.717581,1,0.348703,0.435879
16,2,-8.48655,1,0.659462,0.824327
17,2,-14.9431,1,0.8,1
