metric,value
sim_duration_s,300
global_throughput_kbps,0.37943
global_pdr,0.218896
global_avg_delay_ms,28.4378
global_jitter_ms,59.0566
total_tx,201
total_rx,52
total_lost,149
routing_overhead_ratio,0.964851
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,903
global_avg_sinr_db,-3.22573
global_min_sinr_db,-14.9431
jammed_uav_count,18
