time_s,cluster_id,skdc_node,members,reachable,avg_dist_m
178,0,1,6,1,200
178,1,2,6,1,250
178,2,3,6,1,300
180,0,1,6,1,200
180,1,2,6,1,250
180,2,3,6,1,300
182,0,1,6,1,200
182,1,2,6,1,250
182,2,3,6,1,300
184,0,1,6,1,200
184,1,2,6,1,250
184,2,3,6,1,300
186,0,1,6,1,200
186,1,2,6,1,250
186,2,3,6,1,300
188,0,1,6,1,200
188,1,2,6,1,250
188,2,3,6,1,300
190,0,1,6,1,200
190,1,2,6,1,250
190,2,3,6,1,300
192,0,1,6,1,200
192,1,2,6,1,250
192,2,3,6,1,300
194,0,1,6,1,200
194,1,2,6,1,250
194,2,3,6,1,300
196,0,1,6,1,200
196,1,2,6,1,250
196,2,3,6,1,300
198,0,1,6,1,200
198,1,2,6,1,250
198,2,3,6,1,300
200,0,1,6,1,200
200,1,2,6,1,250
200,2,3,6,1,300
202,0,1,6,1,200
202,1,2,6,1,250
202,2,3,6,1,300
204,0,1,6,1,200
204,1,2,6,1,250
204,2,3,6,1,300
206,0,1,6,1,200
206,1,2,6,1,250
206,2,3,6,1,300
208,0,1,6,1,200
208,1,2,6,1,250
208,2,3,6,1,300
210,0,1,6,1,200
210,1,2,6,1,250
210,2,3,6,1,300
212,0,1,6,1,200
212,1,2,6,1,250
212,2,3,6,1,300
214,0,1,6,1,200
214,1,2,6,1,250
214,2,3,6,1,300
216,0,1,6,1,200
216,1,2,6,1,250
216,2,3,6,1,300
218,0,1,6,1,200
218,1,2,6,1,250
218,2,3,6,1,300
220,0,1,6,1,200
220,1,2,6,1,250
220,2,3,6,1,300
222,0,1,6,1,200
222,1,2,6,1,250
222,2,3,6,1,300
224,0,1,6,1,200
224,1,2,6,1,250
224,2,3,6,1,300
226,0,1,6,1,200
226,1,2,6,1,250
226,2,3,6,1,300
228,0,1,6,1,200
228,1,2,6,1,250
228,2,3,6,1,300
230,0,1,6,1,200
230,1,2,6,1,250
230,2,3,6,1,300
232,0,1,6,1,200
232,1,2,6,1,250
232,2,3,6,1,300
234,0,1,6,1,200
234,1,2,6,1,250
234,2,3,6,1,300
236,0,1,6,1,200
236,1,2,6,1,250
236,2,3,6,1,300
238,0,1,6,1,200
238,1,2,6,1,250
238,2,3,6,1,300
240,0,1,6,1,200
240,1,2,6,1,250
240,2,3,6,1,300
242,0,1,6,1,200
242,1,2,6,1,250
242,2,3,6,1,300
244,0,1,6,1,200
244,1,2,6,1,250
244,2,3,6,1,300
246,0,1,6,1,200
246,1,2,6,1,250
246,2,3,6,1,300
248,0,1,6,1,200
248,1,2,6,1,250
248,2,3,6,1,300
250,0,1,6,1,200
250,1,2,6,1,250
250,2,3,6,1,300
252,0,1,6,1,200
252,1,2,6,1,250
252,2,3,6,1,300
254,0,1,6,1,200
254,1,2,6,1,250
254,2,3,6,1,300
256,0,1,6,1,200
256,1,2,6,1,250
256,2,3,6,1,300
258,0,1,6,1,200
258,1,2,6,1,250
258,2,3,6,1,300
260,0,1,6,1,200
260,1,2,6,1,250
260,2,3,6,1,300
262,0,1,6,1,200
262,1,2,6,1,250
262,2,3,6,1,300
264,0,1,6,1,200
264,1,2,6,1,250
264,2,3,6,1,300
266,0,1,6,1,200
266,1,2,6,1,250
266,2,3,6,1,300
268,0,1,6,1,200
268,1,2,6,1,250
268,2,3,6,1,300
270,0,1,6,1,200
270,1,2,6,1,250
270,2,3,6,1,300
272,0,1,6,1,200
272,1,2,6,1,250
272,2,3,6,1,300
274,0,1,6,1,200
274,1,2,6,1,250
274,2,3,6,1,300
276,0,1,6,1,200
276,1,2,6,1,250
276,2,3,6,1,300
278,0,1,6,1,200
278,1,2,6,1,250
278,2,3,6,1,300
280,0,1,6,1,200
280,1,2,6,1,250
280,2,3,6,1,300
282,0,1,6,1,200
282,1,2,6,1,250
282,2,3,6,1,300
284,0,1,6,1,200
284,1,2,6,1,250
284,2,3,6,1,300
286,0,1,6,1,200
286,1,2,6,1,250
286,2,3,6,1,300
288,0,1,6,1,200
288,1,2,6,1,250
288,2,3,6,1,300
290,0,1,6,1,200
290,1,2,6,1,250
290,2,3,6,1,300
292,0,1,6,1,200
292,1,2,6,1,250
292,2,3,6,1,300
294,0,1,6,1,200
294,1,2,6,1,250
294,2,3,6,1,300
296,0,1,6,1,200
296,1,2,6,1,250
296,2,3,6,1,300
298,0,1,6,1,200
298,1,2,6,1,250
298,2,3,6,1,300
300,0,1,6,1,200
300,1,2,6,1,250
300,2,3,6,1,300
302,0,1,6,1,200
302,1,2,6,1,250
302,2,3,6,1,300
304,0,1,6,1,200
304,1,2,6,1,250
304,2,3,6,1,300
306,0,1,6,1,200
306,1,2,6,1,250
306,2,3,6,1,300
308,0,1,6,1,200
308,1,2,6,1,250
308,2,3,6,1,300
310,0,1,6,1,200
310,1,2,6,1,250
310,2,3,6,1,300
312,0,1,6,1,200
312,1,2,6,1,250
312,2,3,6,1,300
314,0,1,6,1,200
314,1,2,6,1,250
314,2,3,6,1,300
316,0,1,6,1,200
316,1,2,6,1,250
316,2,3,6,1,300
318,0,1,6,1,200
318,1,2,6,1,250
318,2,3,6,1,300
320,0,1,6,1,200
320,1,2,6,1,250
320,2,3,6,1,300
322,0,1,6,1,200
322,1,2,6,1,250
322,2,3,6,1,300
324,0,1,6,1,200
324,1,2,6,1,250
324,2,3,6,1,300
326,0,1,6,1,200
326,1,2,6,1,250
326,2,3,6,1,300
328,0,1,6,1,200
328,1,2,6,1,250
328,2,3,6,1,300
330,0,1,6,1,200
330,1,2,6,1,250
330,2,3,6,1,300
