metric,value
avg_key_estab_ms,0.0511111
max_key_estab_ms,0.08
total_key_estabs,27
avg_rekey_latency_ms,3.85166
max_rekey_latency_ms,5.5
total_rekeys,54
avg_rekey_msg_cost_B,512
auth_success_rate,0.979167
auth_attempts,48
forward_secrecy_rate,1
backward_secrecy_rate,1
replay_detection_rate,0
replay_false_pos_rate,0
replay_attacks,0
healing_success_rate,0
avg_recovery_ms,0
healing_events,1
