time_s,pdr,throughput_kbps,avg_delay_ms,sinr_db,total_rekeys,survivability,connectivity,overhead_ratio
98,0.5625,0.188082,0.05,19.7171,24,1,0,1
99,0.5625,0.186182,0.05,19.7171,24,1,0,1
100,0.5625,0.18432,0.05,19.6929,24,1,0,1
101,0.5625,0.182495,0.05,19.6929,24,1,0,1
102,0.5625,0.180706,0.05,19.6718,24,1,0,1
103,0.5625,0.178951,0.05,19.6718,24,1,0,1
104,0.588235,0.196923,0.05,19.6539,25,1,0,1
105,0.588235,0.195048,0.05,19.6539,25,1,0,1
106,0.588235,0.193208,0.05,19.6395,25,1,0,1
107,0.588235,0.191402,0.05,19.6395,25,1,0,1
108,0.555556,0.18963,0.05,19.6286,26,1,0,1
109,0.555556,0.18789,0.05,19.6286,26,1,0,1
110,0.555556,0.186182,0.05,19.6215,26,1,0,1
111,0.555556,0.184505,0.05,19.6215,26,1,0,1
112,0.555556,0.182857,0.05,19.6182,26,1,0,1
113,0.555556,0.181239,0.05,19.6182,26,1,0,1
114,0.555556,0.179649,0.05,19.6187,26,1,0,1
115,0.578947,0.195896,0.05,19.6187,27,1,0,1
116,0.578947,0.194207,0.05,19.623,27,1,0,1
117,0.578947,0.192547,0.05,19.623,27,1,0,1
118,0.578947,0.190915,0.05,19.6311,27,1,0,1
119,0.578947,0.189311,0.05,19.6311,27,1,0,1
120,0.578947,0.187733,0.05,19.6428,27,1,0,1
121,0.578947,0.186182,0.05,19.6428,27,1,0,1
122,0.55,0.184656,0.05,19.6581,28,1,0,1
123,0.55,0.183154,0.05,19.6581,28,1,0,1
124,0.55,0.181677,0.05,19.6769,28,1,0,1
125,0.55,0.180224,0.05,19.6769,28,1,0,1
126,0.571429,0.195048,0.05,19.6988,29,1,0,1
127,0.571429,0.193512,0.05,19.6988,29,1,0,1
128,0.571429,0.192,0.05,19.7238,29,1,0,1
129,0.571429,0.190512,0.05,19.7238,29,1,0,1
130,0.571429,0.189046,0.05,19.7516,29,1,0,1
131,0.571429,0.187603,0.05,19.7516,29,1,0,1
132,0.571429,0.186182,0.05,19.7818,29,1,0,1
133,0.571429,0.184782,0.05,19.7818,29,1,0,1
134,0.571429,0.183403,0.05,19.8142,29,1,0,1
135,0.571429,0.182044,0.05,19.8142,29,1,0,1
136,0.545455,0.180706,0.05,19.8484,30,1,0,1
137,0.565217,0.194336,0.05,19.8484,31,1,0,1
138,0.565217,0.192928,0.05,19.8842,31,1,0,1
139,0.565217,0.19154,0.05,19.8842,31,1,0,1
140,0.565217,0.190171,0.05,19.9211,31,1,0,1
141,0.565217,0.188823,0.05,19.9211,31,1,0,1
142,0.565217,0.187493,0.05,19.9588,31,1,0,1
143,0.565217,0.186182,0.05,19.9588,31,1,0,1
144,0.565217,0.184889,0.05,19.997,31,1,0,1
145,0.565217,0.183614,0.05,19.997,31,1,0,1
146,0.565217,0.182356,0.05,20.0351,31,1,0,1
147,0.565217,0.181116,0.05,20.0351,31,1,0,1
148,0.583333,0.19373,0.05,20.0729,32,1,0,1
149,0.583333,0.19243,0.05,20.0729,32,1,0,1
150,0.583333,0.191147,0.05,20.11,32,1,0,1
151,0.56,0.189881,0.05,20.11,33,1,0,1
152,0.56,0.188632,0.05,20.146,33,1,0,1
153,0.56,0.187399,0.05,20.146,33,1,0,1
154,0.56,0.186182,0.05,20.1805,33,1,0,1
155,0.56,0.184981,0.05,20.1805,33,1,0,1
156,0.56,0.183795,0.05,20.2132,33,1,0,1
157,0.56,0.182624,0.05,20.2132,33,1,0,1
158,0.56,0.181468,0.05,20.2438,33,1,0,1
159,0.576923,0.193208,0.05,20.2438,34,1,0,1
160,0.576923,0.192,0.05,20.2719,34,1,0,1
161,0.576923,0.190807,0.05,20.2719,34,1,0,1
162,0.576923,0.18963,0.05,20.2974,34,1,0,1
163,0.576923,0.188466,0.05,20.2974,34,1,0,1
164,0.576923,0.187317,0.05,20.3198,34,1,0,1
165,0.555556,0.186182,0.05,20.3198,35,1,0,1
166,0.555556,0.18506,0.05,20.3391,35,1,0,1
167,0.555556,0.183952,0.05,20.3391,35,1,0,1
168,0.555556,0.182857,0.05,20.355,35,1,0,1
169,0.555556,0.181775,0.05,20.355,35,1,0,1
170,0.571429,0.192753,0.05,20.3673,36,1,0,1
171,0.571429,0.191626,0.05,20.3673,36,1,0,1
172,0.571429,0.190512,0.05,20.376,36,1,0,1
173,0.571429,0.18941,0.05,20.376,36,1,0,1
174,0.571429,0.188322,0.05,20.3809,36,1,0,1
175,0.571429,0.187246,0.05,20.3809,36,1,0,1
176,0.571429,0.186182,0.05,20.382,36,1,0,1
177,0.571429,0.18513,0.05,20.382,36,1,0,1
178,0.571429,0.18409,0.05,20.3792,36,1,0,1
179,0.551724,0.183061,0.05,20.3792,37,1,0,1
180,0.551724,0.182044,0.05,20.3727,37,1,0,1
181,0.566667,0.192354,0.05,20.3727,38,1,0,1
