metric,value
avg_sinr_db,20.0136
min_sinr_db,12.0001
sinr_stddev_db,5.66252
jammed_uav_ratio,0
avg_recovery_after_jam_ms,0
link_failure_rate,0
total_link_failures,0
interference_impact,0
