uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.0425228,1,4.40896,3.03139,1,0.198744
1,0,0,0,0,4.29965,1,0.148014
2,0,0,0,0,-1.30271,1,0.372108
3,0,0,0,0,2.45398,1,0.221841
4,0,0,0,0,4.56446,1,0.137422
5,0,0,0,0,-0.0474471,1,0.321898
6,1,0,0,0,4.44788,1,0.142085
7,1,0,0,0,-1.26393,1,0.370557
8,1,0,0,0,1.94287,1,0.242285
9,1,0,0,0,2.97983,1,0.200807
10,1,0,0,0,3.86051,1,0.165579
11,1,0,0,0,3.53498,1,0.178601
12,2,0,0,0,5.25525,1,0.10979
13,2,0,0,0,4.83757,1,0.126497
14,2,0,0,0,0.382608,1,0.304696
15,2,0,0,0,2.78145,1,0.208742
16,2,0,0,0,-2.49223,1,0.419689
17,2,0,0,0,-0.335444,1,0.333418
