uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,3.03139,1,0.198744,0.24843
1,0,4.29965,1,0.148014,0.185017
2,0,-1.30271,1,0.372108,0.465136
3,0,2.45398,1,0.221841,0.277301
4,0,4.56446,1,0.137422,0.171777
5,0,-0.0474471,1,0.321898,0.402372
6,1,4.44788,1,0.142085,0.177606
7,1,-1.26393,1,0.370557,0.463196
8,1,1.94287,1,0.242285,0.302857
9,1,2.97983,1,0.200807,0.251009
10,1,3.86051,1,0.165579,0.206974
11,1,3.53498,1,0.178601,0.223251
12,2,5.25525,1,0.10979,0.137237
13,2,4.83757,1,0.126497,0.158121
14,2,0.382608,1,0.304696,0.38087
15,2,2.78145,1,0.208742,0.260927
16,2,-2.49223,1,0.419689,0.524612
17,2,-0.335444,1,0.333418,0.416772
