cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.122,0.252,2.989,67,20,47
1,6,0.332,0.159,3.805,55,11,44
2,6,0.965,0.132,2.083,53,8,45
