uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-3.83601,1,0.473441,0.591801
1,0,-12.7087,1,0.8,1
2,0,-1.52665,1,0.381066,0.476333
3,0,-13.5401,1,0.8,1
4,0,-6.57667,1,0.583067,0.728834
5,0,-6.65483,1,0.586193,0.732741
6,1,-21.8334,1,0.8,1
7,1,2.69332,1,0.212267,0.265334
8,1,-2.01618,1,0.400647,0.500809
9,1,0.202263,1,0.311909,0.389887
10,1,-0.423283,1,0.336931,0.421164
11,1,1.14932,1,0.274027,0.342534
12,2,-2.66809,1,0.426723,0.533404
13,2,3.12819,1,0.194872,0.24359
14,2,3.51583,1,0.179367,0.224209
15,2,2.20717,1,0.231713,0.289642
16,2,1.35813,1,0.265675,0.332094
17,2,3.60668,1,0.175733,0.219666
