metric,value
sim_duration_s,300
global_throughput_kbps,1.41917
global_pdr,0.18096
global_avg_delay_ms,2.95921
global_jitter_ms,0.861597
total_tx,175
total_rx,39
total_lost,136
routing_overhead_ratio,0.973461
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,903
global_avg_sinr_db,-2.90276
global_min_sinr_db,-19.15
jammed_uav_count,18
