cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.121,0.268,4.083,63,17,44
1,6,0.100,0.265,3.537,65,18,47
2,6,0.869,0.273,3.794,53,16,35
