uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,1.08982,0,0,-3.24245,1,0.449698
1,0,0,0,0,3.82983,1,0.166807
2,0,0,0,0,0.884041,1,0.284638
3,0,0,0,0,-0.0054556,1,0.320218
4,0,0,0,0,2.55113,1,0.217955
5,0,0,0,0,-0.897565,1,0.355903
6,1,0,0,0,-4.74281,1,0.509712
7,1,0,0,0,4.45603,1,0.141759
8,1,0,0,0,-15.91,1,0.8
9,1,0,0,0,-7.77667,1,0.631067
10,1,0,0,0,-4.00087,1,0.480035
11,1,0,0,0,-0.680266,1,0.347211
12,2,0,0,0,-1.23775,1,0.36951
13,2,0,0,0,-13.8107,1,0.8
14,2,0,0,0,0.675931,1,0.292963
15,2,0,0,0,2.27605,1,0.228958
16,2,0,0,0,-12.4858,1,0.8
17,2,0,0,0,-0.933676,1,0.357347
