uav_count,pdr_mean,pdr_std,tput_mean,tput_std,delay_mean,delay_std,rekeys_mean,rekeys_std,lat_mean,lat_std,sec_ovhd,joins,leaves,handovers
6,0.7011016666666666,0.02064509167655443,0.163511,0.073209141587646,2.26455,0.5725996876527263,39.0,0.0,0.7041726666666667,0.05280792550681514,0.24,17.0,14.0,1.0
9,0.7187283333333333,0.05278762022797898,0.26957333333333333,0.1165930443136868,3.473486666666666,1.3921415984135137,42.0,0.0,0.6222593333333334,0.021471253394558368,0.26,19.0,15.0,1.0
12,0.6158786666666667,0.021308024083272765,0.27896899999999997,0.06230829995273503,7.144676666666666,7.347600997497981,45.0,0.0,0.6849576666666666,0.03310151359580603,0.28,21.0,16.0,1.0
15,0.5022890000000001,0.006796038625552391,0.32648900000000003,0.07197849625408968,6.104166666666667,5.6126020777651195,49.0,0.0,0.722339,0.08791387095902445,0.306667,23.0,18.0,1.0
18,0.5384846666666666,0.03969345520779628,0.39260433333333333,0.03527177194773936,2.8388066666666667,1.0166570088448381,54.0,0.0,0.6721020000000001,0.04031311940299338,0.34,26.0,20.0,1.0
