cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,1.434,0.376,5.061,52,22,30
1,6,0.994,0.253,2.583,48,12,35
2,6,0.165,0.314,4.713,74,28,46
