uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-1.59809,1,0.383924,0.479905
1,0,-6.85259,1,0.594104,0.74263
2,0,-1.82899,1,0.39316,0.49145
3,0,-2.67964,1,0.427186,0.533982
4,0,-12.0723,1,0.8,1
5,0,-6.40872,1,0.576349,0.720436
6,1,2.99557,1,0.200177,0.250222
7,1,-5.98777,1,0.559511,0.699388
8,1,-2.02433,1,0.400973,0.501216
9,1,-5.70317,1,0.548127,0.685159
10,1,0.840644,1,0.286374,0.357968
11,1,-2.46476,1,0.41859,0.523238
12,2,0.250361,1,0.309986,0.387482
13,2,-0.479697,1,0.339188,0.423985
14,2,-12.519,1,0.8,1
15,2,-4.52254,1,0.500901,0.626127
16,2,1.83465,1,0.246614,0.308267
17,2,-4.87498,1,0.514999,0.643749
