metric,value
sim_duration_s,300
global_throughput_kbps,0.039256
global_pdr,1
global_avg_delay_ms,3.90848
global_jitter_ms,0.724425
total_tx,30
total_rx,30
total_lost,0
routing_overhead_ratio,0.994714
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,883
global_avg_sinr_db,-3.97007
global_min_sinr_db,-13.6978
jammed_uav_count,18
