cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.137,0.307,3.071,60,21,39
1,6,0.089,0.274,2.912,40,14,25
2,6,1.052,0.272,3.795,57,20,36
