metric,value
sim_duration_s,300
global_throughput_kbps,1.2779
global_pdr,0.284259
global_avg_delay_ms,3.2591
global_jitter_ms,2.38937
total_tx,157
total_rx,55
total_lost,100
routing_overhead_ratio,0.962944
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,903
global_avg_sinr_db,-2.41912
global_min_sinr_db,-19.0241
jammed_uav_count,18
