uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,0.468903,1,0.301244,0.376555
1,0,-4.87362,1,0.514945,0.643681
2,0,-6.51806,1,0.580722,0.725903
3,0,-5.76169,1,0.550468,0.688084
4,0,-4.1473,1,0.485892,0.607365
5,0,-6.01642,1,0.560657,0.700821
6,1,-1.76171,1,0.390468,0.488085
7,1,-0.513303,1,0.340532,0.425665
8,1,-8.95706,1,0.678283,0.847853
9,1,-4.82003,1,0.512801,0.641002
10,1,-5.32004,1,0.532802,0.666002
11,1,-0.350878,1,0.334035,0.417544
12,2,-3.71522,1,0.468609,0.585761
13,2,-4.26961,1,0.490785,0.613481
14,2,-5.06038,1,0.522415,0.653019
15,2,1.08841,1,0.276463,0.345579
16,2,-2.65194,1,0.426078,0.532597
17,2,0.0988727,1,0.316045,0.395056
