uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-5.98565,1,0.559426,0.699283
1,0,-10.1524,1,0.726095,0.907619
2,0,-1.81506,1,0.392603,0.490753
3,0,-16.2714,1,0.8,1
4,0,-11.9929,1,0.799716,0.999644
5,0,-10.4548,1,0.738191,0.922739
6,1,-7.83443,1,0.633377,0.791721
7,1,-3.0521,1,0.442084,0.552605
8,1,-1.1483,1,0.365932,0.457415
9,1,-4.00054,1,0.480022,0.600027
10,1,0.524236,1,0.299031,0.373788
11,1,-6.62678,1,0.585071,0.731339
12,2,1.1424,1,0.274304,0.34288
13,2,1.05791,1,0.277684,0.347104
14,2,-5.8902,1,0.555608,0.69451
15,2,1.63286,1,0.254686,0.318357
16,2,0.329313,1,0.306827,0.383534
17,2,-8.14572,1,0.645829,0.807286
