uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.039256,1,6.71149,3.57219,1,0.177112
1,0,0,0,0,2.17095,1,0.233162
2,0,0,0,0,-3.43881,1,0.457552
3,0,0,0,0,5.31075,1,0.10757
4,0,0,0,0,3.36673,1,0.185331
5,0,0,0,0,-0.606946,1,0.344278
6,1,0,0,0,-19.692,1,0.8
7,1,0,0,0,0.735552,1,0.290578
8,1,0,0,0,1.64041,1,0.254384
9,1,0,0,0,2.43021,1,0.222792
10,1,0,0,0,2.77348,1,0.209061
11,1,0,0,0,-1.19127,1,0.367651
12,2,0,0,0,2.16663,1,0.233335
13,2,0,0,0,2.88176,1,0.204729
14,2,0,0,0,-4.7177,1,0.508708
15,2,0,0,0,-2.09286,1,0.403714
16,2,0,0,0,2.3014,1,0.227944
17,2,0,0,0,0.755181,1,0.289793
