cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,1.090,0.209,5.697,64,16,48
1,6,0.959,0.225,3.455,47,10,37
2,6,1.010,0.214,1.825,90,15,75
