cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.735,0.213,5.333,48,8,40
1,6,0.075,0.144,1.887,58,12,46
2,6,0.102,0.292,4.608,62,18,42
