uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-6.86951,1,0.59478,0.743475
1,0,-3.79542,1,0.471817,0.589771
2,0,3.74022,1,0.170391,0.212989
3,0,-6.40867,1,0.576347,0.720433
4,0,0.918697,1,0.283252,0.354065
5,0,1.70182,1,0.251927,0.314909
6,1,4.81633,1,0.127347,0.159183
7,1,-3.97665,1,0.479066,0.598832
8,1,0.577989,1,0.29688,0.371101
9,1,-16.0515,1,0.8,1
10,1,1.41698,1,0.263321,0.329151
11,1,3.17787,1,0.192885,0.241106
12,2,1.57179,1,0.257128,0.32141
13,2,4.62024,1,0.13519,0.168988
14,2,3.7755,1,0.16898,0.211225
15,2,2.75667,1,0.209733,0.262167
16,2,-0.931851,1,0.357274,0.446593
17,2,3.71668,1,0.171333,0.214166
