uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.039256,1,5.53929,-8.20178,1,0.648071
1,0,0,0,0,1.52027,1,0.259189
2,0,0,0,0,0.628067,1,0.294877
3,0,0,0,0,-0.0871053,1,0.323484
4,0,0,0,0,-4.30743,1,0.492297
5,0,0,0,0,2.56695,1,0.217322
6,1,0,0,0,3.33521,1,0.186592
7,1,0,0,0,3.64692,1,0.174123
8,1,0,0,0,3.51065,1,0.179574
9,1,0,0,0,0.658844,1,0.293646
10,1,0,0,0,4.72304,1,0.131078
11,1,0,0,0,0.227663,1,0.310893
12,2,0,0,0,-1.75241,1,0.390097
13,2,0,0,0,1.42852,1,0.262859
14,2,0,0,0,-3.04904,1,0.441961
15,2,0,0,0,-1.11038,1,0.364415
16,2,0,0,0,2.08655,1,0.236538
17,2,0,0,0,3.52245,1,0.179102
