uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,2.71085,1,0.211566,0.264458
1,0,1.52878,1,0.258849,0.323561
2,0,0.651214,1,0.293951,0.367439
3,0,4.14076,1,0.15437,0.192962
4,0,-3.74748,1,0.469899,0.587374
5,0,-1.56226,1,0.38249,0.478113
6,1,-3.31779,1,0.452712,0.56589
7,1,-11.6644,1,0.786574,0.983218
8,1,0.430015,1,0.302799,0.378499
9,1,-5.47467,1,0.538987,0.673734
10,1,-2.90796,1,0.436318,0.545398
11,1,0.981536,1,0.280739,0.350923
12,2,0.85892,1,0.285643,0.357054
13,2,2.86044,1,0.205583,0.256978
14,2,-0.235702,1,0.329428,0.411785
15,2,4.34522,1,0.146191,0.182739
16,2,3.27347,1,0.189061,0.236326
17,2,1.27722,1,0.268911,0.336139
