cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,1.009,0.269,5.893,67,14,53
1,6,0.918,0.343,4.105,77,28,49
2,6,0.141,0.199,3.309,47,12,35
