metric,value
sim_duration_s,300
global_throughput_kbps,2.06888
global_pdr,0.270119
global_avg_delay_ms,4.43571
global_jitter_ms,3.77213
total_tx,191
total_rx,54
total_lost,137
routing_overhead_ratio,0.963642
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,903
global_avg_sinr_db,-0.325101
global_min_sinr_db,-11.6644
jammed_uav_count,18
