uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,1.66321,0,0,0.925182,1,0.282993
1,0,0,0,0,0.624193,1,0.295032
2,0,0,0,0,-7.93913,1,0.637565
3,0,0,0,0,-7.41169,1,0.616468
4,0,0,0,0,0.764397,1,0.289424
5,0,0,0,0,2.29262,1,0.228295
6,1,0,0,0,-6.70139,1,0.588056
7,1,0,0,0,1.86274,1,0.24549
8,1,0,0,0,-10.6411,1,0.745646
9,1,0,0,0,-0.275188,1,0.331008
10,1,0,0,0,-1.90453,1,0.396181
11,1,0,0,0,2.88915,1,0.204434
12,2,0,0,0,-8.93173,1,0.677269
13,2,0,0,0,0.306508,1,0.30774
14,2,0,0,0,-19.2622,1,0.8
15,2,0,0,0,-4.71458,1,0.508583
16,2,0,0,0,-5.43997,1,0.537599
17,2,0,0,0,4.18863,1,0.152455
