cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,1.182,0.315,3.776,46,15,31
1,6,0.199,0.257,4.035,55,18,37
2,6,0.282,0.221,2.318,66,25,41
