metric,value
sim_duration_s,300
global_throughput_kbps,1.66321
global_pdr,0.264474
global_avg_delay_ms,3.37643
global_jitter_ms,2.36956
total_tx,167
total_rx,58
total_lost,109
routing_overhead_ratio,0.96101
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,893
global_avg_sinr_db,-3.29823
global_min_sinr_db,-19.2622
jammed_uav_count,18
