uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,0.925182,1,0.282993,0.353741
1,0,0.624193,1,0.295032,0.36879
2,0,-7.93913,1,0.637565,0.796956
3,0,-7.41169,1,0.616468,0.770585
4,0,0.764397,1,0.289424,0.36178
5,0,2.29262,1,0.228295,0.285369
6,1,-6.70139,1,0.588056,0.73507
7,1,1.86274,1,0.24549,0.306863
8,1,-10.6411,1,0.745646,0.932057
9,1,-0.275188,1,0.331008,0.413759
10,1,-1.90453,1,0.396181,0.495227
11,1,2.88915,1,0.204434,0.255542
12,2,-8.93173,1,0.677269,0.846586
13,2,0.306508,1,0.30774,0.384675
14,2,-19.2622,1,0.8,1
15,2,-4.71458,1,0.508583,0.635729
16,2,-5.43997,1,0.537599,0.671998
17,2,4.18863,1,0.152455,0.190569
